#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
49.2%,49199754,-451462.3499608878,87633.91312067304,299.1198647037304,347.9402817112088,32.3
49.4%,49399753,-450740.6538518327,87064.55425387173,297.1764783919613,349.21845958636874,32.3
49.6%,49599752,-451095.654280256,87926.13987172034,300.1173190353168,348.7223898199474,32.3
49.8%,49799751,-451054.7475930415,88477.6950453876,301.99993619856974,348.13404974482137,32.3
50.0%,49999750,-453099.11876443494,87402.6885965399,298.3306285973882,347.2876781782775,32.3
50.2%,50199749,-451090.4932642104,87062.82595490303,297.17057920824044,349.5821237120444,32.3
50.4%,50399748,-452058.2604916664,87874.62404695444,299.9414806414195,348.3098067968389,32.3
50.6%,50599747,-452116.967481859,87915.07238143148,300.0795424933375,348.5539589653259,32.3
50.8%,50799746,-450186.6096180631,87438.57968179847,298.4531352410415,348.8880423112964,32.3
51.0%,50999745,-450901.2160593597,86631.6784585648,295.6989482359425,348.3959138686597,32.3
51.2%,51199744,-450733.8691429817,87174.55854845786,297.55195483186566,348.4705863195313,32.3
51.4%,51399743,-451952.938887584,86828.78950778674,296.3717451963349,346.3361079929726,32.3
51.6%,51599742,-451752.3920302293,86356.53130640491,294.75979151000297,349.53852436527575,32.3
51.8%,51799741,-451975.27678339416,86922.38470600126,296.69121264940065,349.1194749525724,32.3
52.0%,51999740,-450871.05215784535,87912.23950871557,300.0698730802835,347.7703992204399,32.3
52.2%,52199739,-451644.1181079671,87604.96863414123,299.0210688085455,348.0755327676714,32.3
52.4%,52399738,-450810.3633606415,87728.30801849626,299.4420617626102,349.28451288637837,32.3
52.6%,52599737,-452809.3243089989,86690.75023295695,295.90057726898203,346.9805508925971,32.3
52.8%,52799736,-452295.0148670692,86892.41651260888,296.5889225469308,348.2300730720704,32.3
53.0%,52999735,-453213.2342262515,87275.52353549772,297.8965775034744,346.68111349202263,32.3
53.2%,53199734,-449470.02876645746,86655.07579592371,295.7788101083159,350.4946910147327,32.3
53.4%,53399733,-451391.9810257042,87240.19056054321,297.77597585153836,349.0473306302772,32.3
53.6%,53599732,-451886.4073573486,88454.35800926475,301.92028015173724,348.6228710868166,32.3
53.8%,53799731,-450915.4645016603,86774.7607788028,296.18732953431214,349.3678297307914,32.3
54.0%,53999730,-451979.1855016933,87925.14189006644,300.11391263559483,348.1636053430752,32.3
54.2%,54199729,-451535.24647408025,86988.56026862969,296.9170889641197,348.1539727303678,32.3
54.4%,54399728,-451127.24289585324,87433.29055824608,298.4350819342216,346.85606931809457,32.3
54.6%,54599727,-452933.9667958128,86913.50143564167,296.6608914811055,346.9581939128143,32.3
54.8%,54799726,-450995.6532397475,87751.40563437785,299.52090059898586,349.03983364454245,32.3
55.0%,54999725,-450484.2346562813,86566.87139104959,295.477742990431,350.0819507799526,32.3
55.2%,55199724,-452079.4666165649,87278.19752935087,297.9057046170665,348.37605204305294,32.3
55.4%,55399723,-451499.57873904053,87101.14487634957,297.3013727582545,348.5957255436373,32.3
55.6%,55599722,-451047.67576573556,87819.55721555662,299.75352163592925,348.7982485251464,32.3
55.8%,55799721,-450752.53626611596,87030.22033624601,297.05928681133645,348.87984876143275,32.3
56.0%,55999720,-452221.0737222042,87608.22274167859,299.0321760177485,348.18126600870914,32.3
56.2%,56199719,-450419.24402557453,86418.0071072327,294.9696261798395,351.16197604802596,32.3
56.4%,56399718,-450787.30604470475,86960.38396061055,296.82091508414095,348.5993199092613,32.3
56.6%,56599717,-451125.9731228547,87665.01659617625,299.22602985205066,348.2959510797702,32.3
56.8%,56799716,-450066.36701070843,87977.82306811452,300.2937287169386,349.40322770074215,32.3
57.0%,56999715,-451363.04463747283,88155.04987497686,300.89865501319485,348.34394106770486,32.3
57.2%,57199714,-450892.4572270685,87446.04739531223,298.4786247048385,349.96657016256887,32.3
